at home, No, stop, sure, a min, thanks,'ll be home soon, D, Dad
downstairs, No, stop, sure, a reason, thanks, owe you one, M, Mom
upstairs, No, stop, sure, an hour, thanks,'ll be waiting, R, Rashed
out right now, No, stop, sure, a min, thanks, 'll text you later, O, Obaid
okay, No, stop, sure, an hour, thanks, owe you one, K, Khawla
crazy, No, stop, sure, a break, thanks,'m so sorry, L, Latifa
sick, No, stop, sure, an hour, thanks,'ll be waiting, F, Fatima
at school, No, stop, sure, a min, thanks, owe you one, A, Ahmed
at work, No, stop, sure, a min, no way,'ll keep that in mind, M, Mariam
at the gym, No, stop, sure, a min, thanks, 'm so sorry, N, Nasser
at the market, No, stop, sure, a reason, thanks,'ll text you later, R, Reem
in bed, No, stop, sure, a break, no way,'ll be home soon, S, Shamma
at home, Yes, stop, sure, a reason, thanks,'m so sorry, D, Dad
downstairs, Yea, stop, sure, a break, thanks, love you, M, Mom
out right now, Idk, stop, sure, a reason, thanks,'ll be home soon, K, Khawla
okay, Maybe, stop, sure, a break, thanks,'ll be waiting, K, Khawla
crazy, yes and no, stop, sure, a break, thanks,'m so sorry, M, Mom
sick, umm, stop, sure, an hour, no way,'m so sorry, K, Khawla
at school, kind of, stop, sure, a sec, thanks,'ll text you later, D, Dad
at work, sort of, stop, sure, a sec, thanks,'ll be waiting, L, Latifa
at the gym, it's complicated, stop, sure, a reason, thanks,'ll be waiting, R, Rashed
at the market, i can't explain, stop, sure, a reason, thanks,'ll be waiting, D, Dad
in bed, it's a secret, stop, sure, a reason, thanks, love you, O, Obaid
at home, Yes, come home, sure, a sec, no way, love you, O, Obaid
downstairs, Yea, stay out, sure, a break, thanks,'ll be waiting, M, Mom
out right now, Idk, buy me an orange, sure, a reason, no way,'ll be waiting, D, Dad
okay, Maybe, eat dinner, sure, a sec, thanks,'m so sorry, L, Latifa
crazy, yes and no, eat lunch, sure, a reason, really?,'m so sorry, R, Rashed
sick, umm, be quiet, sure, an hour, thanks,'ll keep that in mind, M, Mom
at school, kind of, file your paperwork, sure, a reason, thanks,'ll text you later, M, Mom
at work, sort of, meet me at 7, sure, a reason, thanks,'m so sorry, M, Mariam
at the gym, it's complicated, come downstairs, sure, a reason, thanks,'m so sorry, L, Latifa
at the market, i can't explain, come to the party, sure, a reason, thanks, owe you one, D, Dad
in bed, it's a secret, study, sure, a break, thanks,'m so sorry, O, Obaid
at home, Yes, come home, no!, an hour, thanks,'ll keep that in mind, L, Latifa
downstairs, Yea, stay out, what?, a sec, thanks,'m so sorry, M, Mom
out right now, Idk, buy me an orange, idk, a reason, thanks,'m so sorry, M, Mariam
okay, Maybe, eat dinner, no, a reason, thanks,'m so sorry, O, Obaid
crazy, yes and no, eat lunch, yes, a min, thanks,'ll be waiting, D, Dad
sick, umm, be quiet, yea, an hour, thanks, 'm so sorry, F, Fatima
at school, kind of, file your paperwork, maybe, a reason, thanks,'ll be waiting, F, Fatima
at work, sort of, meet me at 7, ill see, a sec, really?, 'm so sorry, F, Fatima
at the gym, it's complicated, come downstairs, why, a reason, thanks,'ll text you later, D, Dad
at the market, i can't explain, come to the party, when?, a reason, thanks,'m so sorry, M, Mariam
in bed, it's a secret, study, with who?, a sec, thanks,'m so sorry, M, Mariam
at home, Yes, come home, no!, an hour, thanks,'ll keep that in mind, O, Obaid
downstairs, Yea, stay out, what?, a reason, thanks,'ll be waiting, M, Mom
out right now, Idk, buy me an orange, idk, a sec, thanks, love you, M, Mariam
okay, Maybe, eat dinner, no, an hour, no way,owe you one, O, Obaid
crazy, yes and no, eat lunch, yes, a reason, thanks, owe you one, M, Mom
sick, umm, be quiet, yea, a reason, thanks, love you, M, Mariam
at school, kind of, file your paperwork, maybe, a reason, thanks,'ll be home soon, S, Shamma
at work, sort of, meet me at 7, ill see, a reason, really?,'m so sorry, S, Shamma
at the gym, it's complicated, come downstairs, why, a reason, thanks, owe you one, S, Shamma
at the market, i can't explain, come to the party, when?, a reason, thanks,'m so sorry, S, Shamma
in bed, it's a secret, study, with who?, a reason, thanks,'m so sorry, R, Reem
downstairs, Yea, stay out, what?, a sec, thanks,'ll be waiting, R, Reem
out right now, Idk, buy me an orange, idk, a min, thanks, love you, M, Mom
okay, Maybe, eat dinner, no, an hour, no way,'m so sorry, R, Rashed
crazy, yes and no, eat lunch, yes, 48 days, really?,'ll text you later, R, Rashed
sick, umm, be quiet, yea, a good reason, thanks,'m so sorry, R, Reem
at school, kind of, file your paperwork, maybe, a valid reason, thanks,'ll be home soon, M, Mom
at work, sort of, meet me at 7, ill see, a break, thanks,'m so sorry, M, Mom
at the gym, it's complicated, come downstairs, why, a breather, thanks,'m so sorry, S, Shamma
at the market, i can't explain, come to the party, when?, my clothes back, thanks,'m so sorry, R, Reem
in bed, it's a secret, study, with who?, a place, thanks,'m so sorry, K, Khawla
downstairs, Yea, stay out, what?, a sec, what,'m so sorry, R, Rashed
out right now, Idk, buy me an orange, idk, a min, no way,'m so sorry, D, Dad
okay, Maybe, eat dinner, no, an hour, thanks,'m so sorry, O, Obaid
crazy, yes and no, eat lunch, yes, 48 days, what,'ll keep that in mind, K, Khawla
sick, umm, be quiet, yea, a good reason, no way,'ll keep that in mind, M, Mom
at school, kind of, file your paperwork, maybe, a valid reason, thanks, owe you one, R, Reem
at work, sort of, meet me at 7, ill see, a break, no way, owe you one, R, Reem
at the gym, it's complicated, come downstairs, why, a breather, seriously?,'m so sorry, D, Dad
at the market, i can't explain, come to the party, when?, my clothes back, really?,'m so sorry,
in bed, it's a secret, study, with who?, a place, no way,'m so sorry, M, Mom
downstairs, Yes, come home, no!, a sec, what, cant wait, R, Rashed
upstairs, Yea, stay out, what?, a min, no way, cant believe it, F, Fatima
out right now, Idk, buy me an orange, idk, an hour, thanks,'ll be waiting, M, Mom
okay, Maybe, eat dinner, no, 48 days, what, 'll keep that in mind, K, Khawla
crazy, yes and no, eat lunch, yes, a good reason, no way, wont forget, A, Ahmed
sick, umm, be quiet, yea, a valid reason, seriously?,'ll check later, D, Dad
at school, kind of, file your paperwork, maybe, a break, thanks,'ll text you later, A, Ahmed
at work, sort of, meet me at 7, ill see, a breather, what, 'll be home soon, A, Ahmed
at the gym, it's complicated, come downstairs, why, my clothes back, no way, can't do this, A, Ahmed
at the market, i can't explain, come to the party, when?, a time, seriously?, owe you one, R, Rashed
in bed, it's a secret, study, with who?, a place, really?, love you, D, Dad
